UNIQUE_CARRIER_ENTITY,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,PASSENGERS
6460,15304,11292,4
6460,15412,11292,140
6200,11292,11298,0
6200,11292,12339,0
6200,11292,13198,0
6200,11292,13495,0
6200,11292,14869,0
6200,11292,15376,0
6200,11921,14869,0
6200,12339,11292,0
6200,13198,11292,0
6200,13244,11921,0
6200,13796,11292,0
6830,11292,11433,144
6830,12266,11292,127
6689,13502,12891,66
6904,11292,11413,45
6904,11413,11292,47
6904,11986,11292,43
6820,11298,13502,44
6820,13502,11298,48
6932,11292,14877,88
6932,14877,11292,94
6085,11109,15016,47
6085,11292,11109,47
6085,12266,11292,47
6085,12266,12012,49
6910,11292,10559,0
6910,11292,12889,0
6910,11292,14730,0
6910,14869,11292,0
6910,14869,11292,0
0A050,11292,14057,267
0A050,12892,11292,322
0A050,14100,11292,267
1260,11292,13487,251
1260,11292,13487,356
1260,14869,11292,287
7041,11292,11986,133
7041,11423,11292,122
6700,11109,11292,125
6700,11292,11109,124
6700,11292,11921,87
6700,11292,12003,91
6700,11292,14057,146
6700,11292,14683,138
6700,11638,11109,0
6700,11921,10372,73
6700,11921,11292,64
6700,11921,11298,0
6700,12003,11292,65
6700,13930,11921,96
6700,14679,11292,145
6700,15919,11292,108
0A875,10397,11292,223
0A875,11193,11292,112
0A875,11278,11292,314
0A875,11292,10397,275
0A875,11292,10721,244
0A875,11292,11278,322
0A875,11292,11884,269
0A875,11292,12278,180
0A875,11292,14492,318
0A875,11292,14689,205
0A875,11292,15304,243
0A875,11292,15376,250
0A875,11603,11292,273
0A875,11618,11292,211
0A875,11884,11292,255
0A875,11986,11292,220
0A875,12278,11292,149
0A875,12889,11292,166
0A875,15304,11292,243
0A875,15376,11292,228
6725,10713,11292,217
6725,11292,10140,49
6725,11292,10821,165
6725,11292,10994,274
6725,11292,11066,254
6725,11292,11884,265
6725,11292,14730,253
6725,11292,14869,204
6725,11884,11292,281
6725,14057,11292,274
6725,14679,11292,275
6725,14747,11292,256
6725,14831,11292,236
6003,11066,11292,104
6003,11292,10599,112
6003,11292,11066,137
6003,11292,13487,132
6003,11292,15370,127
6003,13851,11292,137
6460,11292,13485,274
6460,11292,13487,295
6460,11292,14492,290
6460,11292,14683,299
6460,13485,11292,242
6460,14492,11292,289
6460,14683,11292,299
6200,11292,10620,0
6200,11292,11540,0
7024,11193,11292,143
7024,11292,11193,139
6910,11292,14869,0
0A050,11298,11292,396
7041,10849,11292,177
7041,11292,10849,199
7041,11292,13487,199
7041,11292,14730,191
7041,13367,11292,166
7041,14730,11292,199
6700,10140,11292,166
6700,10279,11292,143
6700,10849,11292,136
6700,11292,10279,119
6700,11292,10849,193
6700,11292,11193,211
6700,11292,11267,192
6700,11292,11986,203
6700,11292,12896,115
6700,11292,13502,135
6700,11292,13891,141
6700,11292,14107,192
6700,11292,14262,131
6700,11292,14489,131
6700,11292,14683,201
6700,11292,15370,206
6700,11423,11292,147
6700,12892,11921,89
6700,12896,11292,90
6700,13502,11292,140
6700,13891,11292,147
6700,14107,11292,204
6700,14457,11292,107
0A875,10800,11292,333
0A875,10821,11292,368
0A875,11057,11292,446
0A875,11292,10397,358
0A875,11292,11618,346
0A875,11292,13198,462
0A875,11292,14262,331
0A875,13851,11292,471
0A875,13930,11292,346
0A875,14262,11292,379
0A875,14492,11292,482
6725,10140,11292,336
6725,10257,11292,465
6725,10397,11292,412
6725,10529,11292,394
6725,11292,10994,513
6725,11292,12339,388
6725,11292,12954,383
6725,11292,13198,400
6725,11292,13495,347
6725,11292,13495,424
6725,11292,13871,391
6725,11292,13891,385
6725,11292,13931,417
6725,11292,14683,481
6725,11292,14747,417
6725,11292,14831,330
6725,11292,14893,350
6725,11292,15376,374
6725,12339,11292,395
6725,12954,11292,380
6725,13495,11292,427
6725,13871,11292,311
6725,13891,11292,400
6725,13931,11292,508
6003,10140,11292,203
6003,10599,11292,144
6003,11042,11292,200
6003,11292,10140,193
6003,11292,10693,190
6003,11292,11540,169
6003,11292,13244,197
6003,11292,13851,213
6003,11292,15919,122
6003,11298,11292,198
6003,11423,11292,196
6003,13244,11292,200
6003,13487,11292,198
6003,13495,11292,197
6003,13871,11292,206
6003,14683,11292,192
6003,15919,11292,130
6460,11003,11292,425
6460,11292,11003,424
6460,11292,12339,445
6460,12339,11292,517
6460,13487,11292,381
6904,10620,11292,126
6904,11292,10620,100
6904,11292,14783,123
6904,11292,14814,132
6904,11292,15376,141
6904,13198,11292,143
6904,14814,11292,92
6904,15376,11292,139
6085,13930,11109,142
6910,13891,11292,0
1131,11921,12892,126
1131,12892,11921,169
0A050,11292,11298,483
0A050,11298,11292,541
7041,10140,11292,210
7041,11292,10140,265
7041,11292,11298,255
7041,11298,11292,274
6700,11292,11884,188
6700,11292,13486,260
6700,11292,13487,277
6700,11292,14783,236
6700,11413,12892,164
6700,11884,11292,187
6700,12892,11413,160
6700,13198,11292,191
6700,13486,11292,168
6700,13487,11292,293
6700,13871,11292,144
6700,14783,11292,253
0A875,10397,11292,462
0A875,10849,11292,509
0A875,11003,11292,395
0A875,11066,11292,577
0A875,11066,11292,540
0A875,11193,11292,438
0A875,11292,10713,555
0A875,11292,10849,623
0A875,11292,11057,571
0A875,11292,11066,588
0A875,11292,11066,503
0A875,11292,11603,479
0A875,11292,11648,545
0A875,11292,12982,638
0A875,11292,13485,754
0A875,11292,13495,456
0A875,11292,14100,615
0A875,11292,14100,397
0A875,11292,14570,497
0A875,11292,14771,668
0A875,11433,11292,684
0A875,11648,11292,397
0A875,12982,11292,642
0A875,13485,11292,617
0A875,14570,11292,650
6725,10140,11292,660
6725,10994,11292,624
6725,11292,10423,506
6725,11292,13931,651
6725,11292,14679,549
6725,11292,14683,553
6725,11292,14831,677
6725,13342,11292,561
6725,13487,11292,543
6725,13931,11292,542
6725,14683,11292,649
6725,14869,11292,516
6725,15376,11292,551
6003,11292,12339,276
6003,11292,14683,256
6003,11540,11292,242
6003,14869,11292,208
6460,11292,13342,693
6460,11292,14908,561
6460,13342,11292,577
6460,14908,11292,567
6795,11292,13487,505
6904,11292,12278,185
6904,12278,11292,158
6820,13502,13930,146
6820,13930,13502,211
6910,11292,10800,0
6910,11292,14730,0
6910,11292,14869,0
6910,14869,11292,0
7041,11292,11003,281
7041,11292,12339,308
7041,12339,11292,328
6700,10620,11292,163
6700,11292,10397,359
6700,11292,10620,180
6700,11292,11042,365
6700,11292,11413,280
6700,11292,11648,314
6700,11292,12278,364
6700,11292,13198,228
6700,11292,13244,299
6700,11292,13433,192
6700,11292,13871,142
6700,11292,14689,197
6700,11413,11292,230
6700,13198,11292,335
6700,13244,11292,357
6700,14262,11292,124
6700,14869,11292,201
0A875,10713,11292,738
0A875,11057,11292,852
0A875,11292,10821,581
0A875,11292,11003,461
0A875,11292,11057,813
0A875,11292,11193,500
0A875,11292,11618,1483
0A875,11292,11884,528
0A875,11292,13264,632
0A875,11292,13891,602
0A875,11292,14831,694
0A875,11292,14893,592
0A875,11292,15376,490
0A875,11697,11292,823
0A875,11884,11292,564
0A875,13198,11292,697
0A875,13851,11292,804
0A875,13891,11292,656
0A875,14057,11292,699
0A875,14747,11292,605
0A875,14831,11292,613
0A875,15376,11292,619
6725,10693,11292,619
6725,11292,12954,633
6725,11292,13487,665
6725,11292,15016,697
6725,12191,11292,686
6725,12954,11292,673
6725,13851,11292,715
6725,14122,11292,821
6725,15016,11292,700
6003,15016,11292,331
6460,11292,14107,877
6460,14107,11292,1091
6795,13487,11292,653
6904,11292,11003,209
6932,11233,11292,14
6932,11292,11233,13
7041,11292,13244,387
7041,13487,11292,390
7041,13502,13930,349
7041,13930,13502,332
6700,10397,11292,382
6700,11042,11292,421
6700,11109,12892,363
6700,11292,11057,412
6700,11292,13264,272
6700,11292,13964,190
6700,11423,11292,330
6700,11648,11292,329
6700,12278,11292,384
6700,13244,11292,392
6700,13433,11292,325
6700,13964,11292,222
6700,14489,11292,300
6700,14689,11292,248
6700,15370,11292,382
6700,15376,11292,375
