AIRPORT_ID,AIRPORT_SEQ_ID,CITY_MARKET_ID,AIRPORT_WAC
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11433,1143302,31295,43
12264,1226402,30852,38
12266,1226603,31453,74
12339,1233904,32337,42
13204,1320402,31454,33
13486,1348602,33486,84
13930,1393004,30977,41
14107,1410702,30466,81
15016,1501603,31123,64
15304,1530402,33195,33
15412,1541203,35412,54
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11921,1192102,31921,82
12339,1233904,32337,42
13198,1319801,33198,64
13244,1324402,33244,54
13796,1379604,32457,91
11292,1129202,30325,82
12266,1226603,31453,74
13502,1350202,33502,82
11292,1129202,30325,82
11413,1141304,30285,82
11986,1198603,31986,43
11298,1129804,30194,74
13502,1350202,33502,82
11292,1129202,30325,82
14877,1487704,34877,62
11109,1110902,30189,82
11292,1129202,30325,82
12266,1226603,31453,74
12266,1226603,31453,74
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
14869,1486903,34614,87
14869,1486903,34614,87
11292,1129202,30325,82
12892,1289205,32575,91
14100,1410002,34100,23
11292,1129202,30325,82
11292,1129202,30325,82
14869,1486903,34614,87
11292,1129202,30325,82
11423,1142304,31423,61
11109,1110902,30189,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11638,1163805,31638,91
11921,1192102,31921,82
11921,1192102,31921,82
11921,1192102,31921,82
12003,1200302,31895,84
13930,1393004,30977,41
14679,1467903,33570,91
15919,1591902,31834,71
10397,1039705,30397,34
11193,1119302,33105,52
11278,1127803,30852,38
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11603,1160302,31603,92
11618,1161802,31703,21
11884,1188402,31884,93
11986,1198603,31986,43
12278,1227803,30928,62
12889,1288903,32211,85
15304,1530402,33195,33
15376,1537602,30436,81
10713,1071302,30713,83
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11884,1188402,31884,93
14057,1405702,34057,92
14679,1467903,33570,91
14747,1474703,30559,93
14831,1483104,32457,91
11066,1106603,31066,44
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
13851,1385103,33851,73
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
13485,1348502,33485,45
14492,1449202,34492,36
14683,1468303,33214,74
11292,1129202,30325,82
11292,1129202,30325,82
11193,1119302,33105,52
11292,1129202,30325,82
11292,1129202,30325,82
11298,1129804,30194,74
10849,1084903,30849,84
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
13367,1336703,33367,41
14730,1473003,33044,52
10140,1014003,30140,86
10279,1027903,30279,74
10849,1084903,30849,84
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11423,1142304,31423,61
12892,1289205,32575,91
12896,1289605,32896,74
13502,1350202,33502,82
13891,1389101,32575,91
14107,1410702,30466,81
14457,1445702,34457,67
10800,1080003,32575,91
10821,1082104,30852,35
11057,1105703,31057,36
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
13851,1385103,33851,73
13930,1393004,30977,41
14262,1426204,34262,91
14492,1449202,34492,36
10140,1014003,30140,86
10257,1025702,30257,22
10397,1039705,30397,34
10529,1052904,30529,11
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
12339,1233904,32337,42
12954,1295403,32575,91
13495,1349503,33495,72
13871,1387102,33316,65
13891,1389101,32575,91
13931,1393102,33667,38
10140,1014003,30140,86
10599,1059904,30599,51
11042,1104203,30647,44
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11298,1129804,30194,74
11423,1142304,31423,61
13244,1324402,33244,54
13487,1348702,31650,63
13495,1349503,33495,72
13871,1387102,33316,65
14683,1468303,33214,74
15919,1591902,31834,71
11003,1100303,31003,61
11292,1129202,30325,82
11292,1129202,30325,82
12339,1233904,32337,42
13487,1348702,31650,63
10620,1062002,30620,84
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
13198,1319801,33198,64
14814,1481402,30476,72
15376,1537602,30436,81
13930,1393004,30977,41
13891,1389101,32575,91
11921,1192102,31921,82
12892,1289205,32575,91
11292,1129202,30325,82
11298,1129804,30194,74
10140,1014003,30140,86
11292,1129202,30325,82
11292,1129202,30325,82
11298,1129804,30194,74
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11413,1141304,30285,82
11884,1188402,31884,93
12892,1289205,32575,91
13198,1319801,33198,64
